year,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,6.78333333333,7.53333333333,9.74166666667,7.0,9.10833333333,5.825,9.29166666667,8.76666666667,9.13333333333,8.175,9.41666666667,5.55833333333,6.6,6.075,4.0,4.20833333333,5.375,6.7,8.675,6.64166666667,9.6,9.38333333333,5.84166666667,6.53333333333,6.21666666667,5.93333333333,3.20833333333,8.79166666667,6.525,10.4166666667,8.875,10.2083333333,6.23333333333,3.68333333333,7.79166666667,5.70833333333,9.35833333333,7.95833333333,8.21666666667,7.21666666667,3.225,6.08333333333,5.8,5.59166666667,8.34166666667,5.83333333333,8.88333333333,7.33333333333,5.55,3.98333333333
1977,7.31666666667,9.86666666667,8.21666666667,6.45,8.31666666667,6.375,7.0,8.45833333333,8.15,6.90833333333,7.825,5.76666666667,6.23333333333,5.78333333333,3.89166666667,3.91666666667,4.86666666667,7.06666666667,8.24166666667,6.275,7.775,8.20833333333,5.25833333333,7.26666666667,6.075,6.3,3.45833333333,6.74166666667,5.43333333333,9.36666666667,7.61666666667,9.125,5.91666666667,4.53333333333,6.525,4.95,7.425,7.64166666667,8.04166666667,6.84166666667,3.29166666667,6.23333333333,5.325,5.125,6.98333333333,5.475,8.46666666667,6.88333333333,5.11666666667,3.38333333333
1978,6.30833333333,10.6166666667,6.04166666667,6.19166666667,7.15833333333,5.525,5.21666666667,7.40833333333,6.70833333333,5.73333333333,7.10833333333,5.45833333333,5.95833333333,5.58333333333,3.85,3.125,5.10833333333,6.79166666667,6.41666666667,5.525,6.21666666667,6.975,3.85833333333,6.875,4.89166666667,5.74166666667,3.11666666667,4.45833333333,3.81666666667,7.26666666667,5.94166666667,7.75833333333,4.46666666667,4.23333333333,5.46666666667,3.575,6.075,6.925,6.55833333333,5.74166666667,3.1,5.80833333333,4.78333333333,3.79166666667,5.6,5.28333333333,6.825,6.175,4.96666666667,3.00833333333
1979,7.16666666667,9.275,5.1,6.21666666667,6.24166666667,4.74166666667,5.15,7.2,5.95,5.125,6.08333333333,5.80833333333,5.54166666667,6.48333333333,4.21666666667,3.23333333333,5.53333333333,6.6,6.79166666667,5.775,5.51666666667,7.825,4.24166666667,5.775,4.83333333333,5.175,3.05,4.94166666667,3.2,6.925,6.38333333333,7.175,4.76666666667,4.01666666667,5.83333333333,3.375,6.68333333333,6.84166666667,6.41666666667,5.01666666667,3.35833333333,5.84166666667,4.34166666667,4.325,5.14166666667,4.71666666667,6.675,6.91666666667,4.59166666667,2.75833333333
1980,8.89166666667,9.65,6.65833333333,7.56666666667,6.875,5.8,5.80833333333,7.60833333333,6.10833333333,6.35833333333,5.05833333333,7.53333333333,8.15,9.66666666667,6.05833333333,4.46666666667,7.95833333333,6.85,7.625,6.575,5.66666666667,12.3916666667,5.80833333333,7.51666666667,7.24166666667,6.11666666667,3.95,6.19166666667,4.53333333333,7.21666666667,7.56666666667,7.48333333333,6.41666666667,4.94166666667,8.39166666667,4.41666666667,8.48333333333,8.05833333333,7.21666666667,6.75,4.825,7.45833333333,5.15833333333,6.19166666667,6.18333333333,5.19166666667,8.06666666667,9.45833333333,7.225,3.86666666667
1981,10.5333333333,9.375,6.225,8.75833333333,7.41666666667,5.73333333333,6.175,7.85,6.65833333333,6.35,5.425,7.76666666667,8.53333333333,9.85833333333,6.575,4.30833333333,8.575,8.38333333333,7.34166666667,7.25833333333,6.46666666667,12.4166666667,5.775,8.53333333333,7.625,6.825,4.25,7.18333333333,5.16666666667,7.44166666667,7.3,7.575,6.45833333333,4.825,9.39166666667,3.63333333333,9.75833333333,8.40833333333,7.76666666667,8.08333333333,4.95,8.9,5.3,6.56666666667,5.83333333333,5.975,9.56666666667,10.5583333333,8.0,4.075
1982,14.125,9.95833333333,10.075,9.9,9.975,7.35833333333,6.875,8.36666666667,8.45,7.825,6.31666666667,9.90833333333,11.3583333333,11.9916666667,8.51666666667,6.30833333333,10.8333333333,10.275,8.38333333333,8.28333333333,7.725,15.3666666667,7.925,11.1583333333,9.25,8.525,5.66666666667,9.9,6.775,8.71666666667,9.24166666667,8.46666666667,9.225,5.55833333333,12.6916666667,6.00833333333,11.5583333333,11.1833333333,9.7,11.1333333333,5.475,11.7416666667,6.88333333333,8.2,6.99166666667,7.45833333333,11.9333333333,14.0,10.5416666667,6.225
1983,13.8416666667,9.93333333333,8.83333333333,9.825,9.78333333333,7.10833333333,6.00833333333,7.74166666667,8.48333333333,7.775,6.15833333333,8.94166666667,11.8166666667,11.2166666667,8.125,5.85833333333,11.4416666667,11.5166666667,8.28333333333,7.0,6.76666666667,14.3416666667,8.00833333333,12.0166666667,9.9,8.61666666667,5.54166666667,9.58333333333,5.5,8.03333333333,9.65833333333,8.69166666667,8.95833333333,5.65833333333,12.3833333333,8.36666666667,10.7916666667,11.4583333333,8.31666666667,9.86666666667,5.2,11.5666666667,7.91666666667,8.725,6.43333333333,6.45833333333,11.1083333333,17.7916666667,10.225,8.125
1984,11.0,9.85833333333,5.16666666667,8.725,7.75,5.43333333333,4.64166666667,6.30833333333,6.36666666667,6.10833333333,5.675,7.325,9.03333333333,8.54166666667,6.98333333333,4.9,9.275,10.0666666667,6.23333333333,5.35833333333,4.73333333333,11.1916666667,6.26666666667,10.4583333333,7.16666666667,7.60833333333,4.5,7.875,4.3,6.16666666667,7.825,7.15833333333,6.74166666667,5.28333333333,9.46666666667,7.08333333333,9.40833333333,9.06666666667,5.5,6.9,4.39166666667,8.56666666667,6.11666666667,6.45833333333,5.05833333333,5.08333333333,9.26666666667,14.7666666667,7.38333333333,6.24166666667
1985,9.14166666667,9.7,6.35,8.68333333333,7.15,6.06666666667,4.725,5.15,5.975,6.40833333333,5.39166666667,7.86666666667,9.05833333333,7.8,7.45,5.075,9.2,11.5333333333,5.475,4.61666666667,3.975,9.95,5.99166666667,10.3583333333,6.54166666667,7.64166666667,5.15833333333,7.69166666667,3.73333333333,5.6,8.33333333333,6.60833333333,5.55833333333,5.675,8.88333333333,7.18333333333,8.85,8.0,4.63333333333,6.925,4.825,7.93333333333,7.03333333333,6.03333333333,4.78333333333,5.49166666667,8.35,13.15,7.16666666667,6.88333333333
