,Date,State,UR,StateName
0,1976-01-01,AL,6.9,alabama
1,1976-01-01,AK,7.2,alaska
2,1976-01-01,AZ,10.7,arizona
3,1976-01-01,AR,7.6,arkansas
4,1976-01-01,CA,9.2,california
5,1976-01-01,CO,5.5,colorado
6,1976-01-01,CT,10.0,connecticut
7,1976-01-01,DE,7.1,delaware
8,1976-01-01,FL,9.9,florida
9,1976-01-01,GA,8.6,georgia
10,1976-01-01,HI,10.4,hawaii
11,1976-01-01,ID,5.3,idaho
12,1976-01-01,IL,6.9,illinois
13,1976-01-01,IN,7.0,indiana
14,1976-01-01,IA,4.3,iowa
15,1976-01-01,KS,4.3,kansas
16,1976-01-01,KY,5.6,kentucky
17,1976-01-01,LA,6.1,louisiana
18,1976-01-01,ME,8.9,maine
19,1976-01-01,MD,6.4,maryland
20,1976-01-01,MA,10.7,massachusetts
21,1976-01-01,MI,10.0,michigan
22,1976-01-01,MN,6.3,minnesota
23,1976-01-01,MS,7.0,mississippi
24,1976-01-01,MO,5.9,missouri
25,1976-01-01,MT,5.9,montana
26,1976-01-01,NE,3.4,nebraska
27,1976-01-01,NV,9.1,nevada
28,1976-01-01,NH,6.9,new hampshire
29,1976-01-01,NJ,10.2,new jersey
30,1976-01-01,NM,8.8,new mexico
31,1976-01-01,NY,10.4,new york
32,1976-01-01,NC,6.8,north carolina
33,1976-01-01,ND,3.2,north dakota
34,1976-01-01,OH,8.3,ohio
35,1976-01-01,OK,6.1,oklahoma
36,1976-01-01,OR,10.1,oregon
37,1976-01-01,PA,8.0,pennsylvania
38,1976-01-01,RI,8.2,rhode island
39,1976-01-01,SC,8.0,south carolina
40,1976-01-01,SD,3.3,south dakota
41,1976-01-01,TN,6.2,tennessee
42,1976-01-01,TX,5.9,texas
43,1976-01-01,UT,6.0,utah
44,1976-01-01,VT,8.8,vermont
45,1976-01-01,VA,6.0,virginia
46,1976-01-01,WA,8.8,washington
47,1976-01-01,WV,7.9,west virginia
48,1976-01-01,WI,6.0,wisconsin
49,1976-01-01,WY,4.2,wyoming
50,1976-02-01,AL,6.7,alabama
51,1976-02-01,AK,7.1,alaska
52,1976-02-01,AZ,10.5,arizona
53,1976-02-01,AR,7.5,arkansas
54,1976-02-01,CA,9.1,california
55,1976-02-01,CO,5.5,colorado
56,1976-02-01,CT,9.9,connecticut
57,1976-02-01,DE,7.4,delaware
58,1976-02-01,FL,9.7,florida
59,1976-02-01,GA,8.5,georgia
60,1976-02-01,HI,10.3,hawaii
61,1976-02-01,ID,5.4,idaho
62,1976-02-01,IL,6.8,illinois
63,1976-02-01,IN,6.8,indiana
64,1976-02-01,IA,4.3,iowa
65,1976-02-01,KS,4.3,kansas
66,1976-02-01,KY,5.6,kentucky
67,1976-02-01,LA,6.2,louisiana
68,1976-02-01,ME,8.8,maine
69,1976-02-01,MD,6.4,maryland
70,1976-02-01,MA,10.5,massachusetts
71,1976-02-01,MI,10.0,michigan
72,1976-02-01,MN,6.1,minnesota
73,1976-02-01,MS,6.8,mississippi
74,1976-02-01,MO,5.9,missouri
75,1976-02-01,MT,5.8,montana
76,1976-02-01,NE,3.4,nebraska
77,1976-02-01,NV,9.1,nevada
78,1976-02-01,NH,6.9,new hampshire
79,1976-02-01,NJ,10.2,new jersey
80,1976-02-01,NM,8.9,new mexico
81,1976-02-01,NY,10.3,new york
82,1976-02-01,NC,6.6,north carolina
83,1976-02-01,ND,3.2,north dakota
84,1976-02-01,OH,8.2,ohio
85,1976-02-01,OK,6.0,oklahoma
86,1976-02-01,OR,9.9,oregon
87,1976-02-01,PA,8.1,pennsylvania
88,1976-02-01,RI,8.2,rhode island
89,1976-02-01,SC,7.7,south carolina
90,1976-02-01,SD,3.2,south dakota
91,1976-02-01,TN,6.1,tennessee
92,1976-02-01,TX,5.9,texas
93,1976-02-01,UT,5.9,utah
94,1976-02-01,VT,8.8,vermont
95,1976-02-01,VA,5.9,virginia
96,1976-02-01,WA,8.7,washington
97,1976-02-01,WV,7.9,west virginia
98,1976-02-01,WI,5.9,wisconsin
99,1976-02-01,WY,4.2,wyoming
100,1976-03-01,AL,6.6,alabama
101,1976-03-01,AK,7.1,alaska
102,1976-03-01,AZ,10.2,arizona
103,1976-03-01,AR,7.4,arkansas
104,1976-03-01,CA,9.0,california
105,1976-03-01,CO,5.5,colorado
106,1976-03-01,CT,9.8,connecticut
107,1976-03-01,DE,7.7,delaware
108,1976-03-01,FL,9.5,florida
109,1976-03-01,GA,8.4,georgia
110,1976-03-01,HI,10.2,hawaii
111,1976-03-01,ID,5.5,idaho
112,1976-03-01,IL,6.7,illinois
113,1976-03-01,IN,6.5,indiana
114,1976-03-01,IA,4.2,iowa
115,1976-03-01,KS,4.3,kansas
116,1976-03-01,KY,5.5,kentucky
117,1976-03-01,LA,6.3,louisiana
118,1976-03-01,ME,8.7,maine
119,1976-03-01,MD,6.5,maryland
120,1976-03-01,MA,10.3,massachusetts
121,1976-03-01,MI,9.9,michigan
122,1976-03-01,MN,6.0,minnesota
123,1976-03-01,MS,6.5,mississippi
124,1976-03-01,MO,6.0,missouri
125,1976-03-01,MT,5.8,montana
126,1976-03-01,NE,3.3,nebraska
127,1976-03-01,NV,9.0,nevada
128,1976-03-01,NH,6.8,new hampshire
129,1976-03-01,NJ,10.2,new jersey
130,1976-03-01,NM,8.9,new mexico
131,1976-03-01,NY,10.2,new york
132,1976-03-01,NC,6.4,north carolina
133,1976-03-01,ND,3.3,north dakota
134,1976-03-01,OH,8.1,ohio
135,1976-03-01,OK,5.9,oklahoma
136,1976-03-01,OR,9.6,oregon
137,1976-03-01,PA,8.1,pennsylvania
138,1976-03-01,RI,8.1,rhode island
139,1976-03-01,SC,7.5,south carolina
140,1976-03-01,SD,3.1,south dakota
141,1976-03-01,TN,6.0,tennessee
142,1976-03-01,TX,5.9,texas
143,1976-03-01,UT,5.8,utah
144,1976-03-01,VT,8.7,vermont
145,1976-03-01,VA,5.9,virginia
146,1976-03-01,WA,8.7,washington
147,1976-03-01,WV,7.9,west virginia
148,1976-03-01,WI,5.7,wisconsin
149,1976-03-01,WY,4.2,wyoming
150,1976-04-01,AL,6.5,alabama
151,1976-04-01,AK,7.0,alaska
152,1976-04-01,AZ,10.0,arizona
153,1976-04-01,AR,7.3,arkansas
154,1976-04-01,CA,9.0,california
155,1976-04-01,CO,5.5,colorado
156,1976-04-01,CT,9.7,connecticut
157,1976-04-01,DE,8.1,delaware
158,1976-04-01,FL,9.3,florida
159,1976-04-01,GA,8.2,georgia
160,1976-04-01,HI,10.1,hawaii
161,1976-04-01,ID,5.5,idaho
162,1976-04-01,IL,6.6,illinois
163,1976-04-01,IN,6.2,indiana
164,1976-04-01,IA,4.1,iowa
165,1976-04-01,KS,4.3,kansas
166,1976-04-01,KY,5.5,kentucky
167,1976-04-01,LA,6.5,louisiana
168,1976-04-01,ME,8.6,maine
169,1976-04-01,MD,6.5,maryland
170,1976-04-01,MA,10.1,massachusetts
171,1976-04-01,MI,9.7,michigan
172,1976-04-01,MN,5.8,minnesota
173,1976-04-01,MS,6.4,mississippi
174,1976-04-01,MO,6.0,missouri
175,1976-04-01,MT,5.9,montana
176,1976-04-01,NE,3.2,nebraska
177,1976-04-01,NV,8.9,nevada
178,1976-04-01,NH,6.7,new hampshire
179,1976-04-01,NJ,10.3,new jersey
180,1976-04-01,NM,8.9,new mexico
181,1976-04-01,NY,10.2,new york
182,1976-04-01,NC,6.2,north carolina
183,1976-04-01,ND,3.4,north dakota
184,1976-04-01,OH,8.0,ohio
185,1976-04-01,OK,5.9,oklahoma
186,1976-04-01,OR,9.4,oregon
187,1976-04-01,PA,8.1,pennsylvania
188,1976-04-01,RI,8.1,rhode island
189,1976-04-01,SC,7.3,south carolina
190,1976-04-01,SD,3.1,south dakota
191,1976-04-01,TN,5.9,tennessee
192,1976-04-01,TX,5.9,texas
193,1976-04-01,UT,5.7,utah
194,1976-04-01,VT,8.7,vermont
195,1976-04-01,VA,5.8,virginia
196,1976-04-01,WA,8.7,washington
197,1976-04-01,WV,7.9,west virginia
198,1976-04-01,WI,5.6,wisconsin
199,1976-04-01,WY,4.1,wyoming
200,1976-05-01,AL,6.4,alabama
201,1976-05-01,AK,7.0,alaska
202,1976-05-01,AZ,9.8,arizona
203,1976-05-01,AR,7.2,arkansas
204,1976-05-01,CA,8.9,california
